--------------------DepartureInfo---------------------
ID	类型	起点	出发时间	终点	到达时间
112	CAR	大连	22:00	深圳	21:00	
113	CAR	大连	23:00	上海	18:00	
114	CAR	大连	0:00	南昌	20:00	
115	CAR	大连	1:00	福州	0:00	
116	CAR	大连	2:00	长沙	22:00	
117	CAR	大连	3:00	重庆	2:00	
118	CAR	大连	4:00	衡水	12:00	
119	CAR	大连	5:00	兰州	21:00	
120	CAR	衡水	6:00	武汉	16:00	
121	CAR	衡水	7:00	北京	11:00	
122	CAR	衡水	8:00	深圳	4:00	
123	CAR	衡水	9:00	上海	1:00	
124	CAR	衡水	10:00	南昌	4:00	
125	CAR	衡水	11:00	福州	6:00	
126	CAR	衡水	12:00	长沙	6:00	
127	CAR	衡水	13:00	重庆	8:00	
128	CAR	衡水	14:00	大连	22:00	
129	CAR	衡水	15:00	兰州	3:00	
130	CAR	兰州	16:00	武汉	8:00	
131	CAR	兰州	17:00	北京	9:00	
132	CAR	兰州	18:00	深圳	15:00	
133	CAR	兰州	19:00	上海	14:00	
134	CAR	兰州	20:00	南昌	17:00	
135	CAR	兰州	21:00	福州	17:00	
136	CAR	兰州	22:00	长沙	16:00	
137	CAR	兰州	23:00	重庆	12:00	
138	CAR	兰州	0:00	大连	16:00	
139	CAR	兰州	1:00	衡水	13:00	
